,question,answer
0,ᠭᠠᠷ ᠤᠲᠠᠰᠤ ᠴᠢᠨᠢ ᠰᠦᠢᠷᠡᠴᠢᠬᠡᠪᠡ ᠦᠦ ︖,ᠡᠨᠡ ᠭᠠᠷ ᠤᠲᠠᠰᠤ ᠠᠮᠠᠷᠬᠠᠨ ᠰᠦᠢᠷᠡᠨ᠎ᠡ ᠃ 
1,ᠪᠢᠳᠡ ᠶᠠᠭᠤᠨ ᠤ ᠤᠴᠢᠷ ᠠᠴᠠ ᠠᠮᠢᠳᠤᠷᠠᠵᠤ ᠪᠠᠢᠬᠤ ᠪᠤᠶ ?,ᠠᠮᠢᠳᠤᠷᠠᠯ ᠪᠤᠯ ᠵᠢᠷᠠᠭᠠᠯ ᠃
2,ᠪᠦᠯᠦ ᠠᠬ᠎ᠠ ᠱᠧᠨᠶᠠᠩ ᠳᠤ ᠪᠠᠢ᠌ᠭᠰᠠᠭᠠᠷ ᠤᠤ?,ᠲᠡᠢᠮᠦ ᠡ᠂ᠦᠷᠬᠦᠯᠵᠢ ᠡᠨᠳᠡ ᠪᠠᠢᠳᠠᠭ᠃
3,ᠴᠢ ᠬᠠᠷᠢᠵᠤ ᠢᠷᠡᠬᠦ ᠭᠡᠵᠤ ᠪᠠᠢᠨ᠎ᠠ ᠦᠦ?,ᠲᠡᠶᠢᠮᠦ᠃ ᠬᠠᠷᠢᠵᠤ ᠢᠷᠡᠭᠡᠳ ᠬᠡᠳᠦᠨ ᠡᠳᠦᠷ ᠰᠠᠭᠤᠬᠤ ᠭᠡᠵᠦ ᠪᠠᠢᠨ᠎ᠠ!
4,ᠲᠠᠨ ᠤ ᠳᠡᠯᠭᠡᠭᠦᠷ ᠲᠦ ᠲᠤᠰᠬᠠᠶᠢᠯᠠᠨ ᠥᠨᠳᠡᠭᠡ ᠲᠡᠶ ᠪᠣᠭᠣᠷᠰᠣᠭ ᠬᠢᠳᠡᠭ ᠦᠦ?,ᠪᠢᠳᠡ ᠭᠠᠭᠴᠠ ᠥᠨᠳᠡᠭᠡᠨ ᠪᠣᠭᠣᠷᠰᠣᠭ ᠬᠤᠳᠠᠯᠳᠤᠳᠠᠭ ᠂ ᠠᠮᠲᠠᠯᠠᠵᠤ ᠦᠵᠡ !
5,ᠪᠣᠷᠣᠭ᠎ᠠ ᠵᠣᠭᠰᠣᠴᠢᠬᠠᠪᠠ ᠤᠤ ? ᠬᠠᠷᠢᠬᠤ ᠥᠬᠡᠶ ᠦᠦ︖,ᠪᠤᠷᠤᠭᠠᠨ ᠵᠤᠭᠰᠤᠭᠠᠳ ᠨᠡᠯᠢᠶᠡᠳ ᠤᠳᠠᠴᠢᠬᠠᠭᠰᠠᠨ᠃
6,ᠠᠬ᠎ᠠ ᠠ ᠂ ᠲᠠ ᠪᠠᠰᠠ ᠵᠠᠮ ᠳᠠᠭᠠᠨ ᠪᠠᠶᠢᠭᠰᠠᠭᠠᠷ ᠤᠤ ?,ᠲᠠᠢᠮᠤ᠂ ᠵᠠᠮ ᠳᠡᠭᠡᠷ᠎ᠡ ᠪᠡᠨ ᠪᠠᠢᠨ᠎ᠠ᠂ ᠤᠳᠠᠬᠤ ᠦᠭᠡᠢ ᠬᠦᠷᠦᠨ᠎ᠡ
7,ᠶᠠᠰᠤᠨ ᠤ ᠬᠠᠳᠠᠭᠠᠰᠤ ᠶᠢ ᠴᠣᠬᠢᠬᠤ ᠳᠤ ᠶᠡᠬᠡ ᠡᠪᠡᠳᠦᠨ᠎ᠡ ᠦᠦ ?,ᠦᠭᠡᠢ᠂ ᠦᠨᠳᠦᠰᠦᠨ ᠳᠡᠭᠡᠨ ᠮᠡᠰᠡ ᠵᠠᠰᠠᠯ ᠤᠨ ᠳᠠᠷᠠᠭᠠᠬᠢ ᠲᠤᠰᠬᠠᠯ ᠪᠠᠶᠢᠬᠤ ᠦᠭᠡᠢ᠃
8,ᠱᠠᠩᠨᠠᠯ ᠤᠨ ᠮᠥᠩᠭᠥ ᠦᠭᠭᠦᠨ᠎ᠠ ᠦᠦ ?,ᠦᠭᠭᠦᠵᠤ ᠲᠡᠢᠯᠡᠬᠦ ᠦᠭᠡᠢ᠂ ᠪᠢᠳᠡᠨ ᠶᠠᠳᠠᠭᠤ ᠪᠠᠶᠢᠨ᠎ᠠ᠃
9,ᠦᠨᠡᠬᠡᠷ ᠬᠥᠮᠦᠨ ᠴᠢᠮ᠎ᠠ ᠳᠤ ᠢᠩᠭ᠍ᠢᠵᠦ ᠶᠠᠪᠤᠭᠤᠯᠪᠠᠯ ᠂ ᠴᠢ ᠶᠠᠮᠠᠷ ᠲᠤᠰᠬᠠᠯ ᠲᠠᠶ ᠪᠣᠯᠬᠤ ᠪᠤᠶ ?,ᠪᠠᠶᠠᠷᠯᠠᠨ᠎ᠠ᠂ ᠳᠠᠷᠠᠭ᠎ᠠ ᠨᠢ ᠲᠡᠷᠡ ᠪᠤᠷᠤᠭᠤ ᠬᠥᠮᠦᠨ ᠶᠠᠪᠤᠭᠤᠯᠤᠭᠰᠠᠨ ᠡᠰᠡᠬᠦ ᠶᠢ ᠰᠡᠵᠢᠭᠯᠡᠨ᠎ᠡ᠃
10,ᠴᠢ ᠭᠤᠤᠠᠩᠵᠧᠦ ᠳᠦ ᠦᠯᠡᠳᠡᠬᠦ ᠭᠡᠵᠦ ᠪᠠᠢᠨ᠎ᠠ ᠤᠤ ?,ᠭᠡᠨᠡᠳᠲᠡ ᠡᠶᠢᠮᠦ ᠪᠣᠳᠣᠯ ᠲᠠᠶ ᠪᠣᠯᠤᠭᠰᠠᠨ ᠲᠡᠳᠦᠢ᠃
11,ᠲᠠ ᠬᠤᠷᠢᠮ ᠬᠢᠨ᠎ᠡ ᠦᠦ?,ᠲᠦᠯᠦᠪᠯᠡᠵᠤ  ᠪᠠᠢᠨ᠎ᠠ᠃
12,ᠥᠨᠥᠳᠦᠷ ᠪᠡᠭᠡᠵᠢᠩ ᠳᠦ ᠪᠣᠬᠢᠷ ᠮᠠᠨᠠᠨ ᠥᠬᠡᠶ ᠦᠦ ︖,ᠲᠩᠷᠢ ᠮᠠᠰᠢ ᠰᠠᠶᠢᠨ ᠪᠠᠢᠨ᠎ᠠ᠃
13,ᠪᠠᠶᠢᠰᠢᠩ ᠢᠶᠠᠨ ᠡᠷᠢᠴᠢᠬᠡᠪᠡ ᠦᠦ ︖,ᠡᠩ ᠂ ᠶᠠᠭᠤᠮ᠎ᠠ ᠶᠢ ᠨᠢᠭᠡᠨᠲᠡ ᠵᠥᠭᠡᠭᠡᠵᠦ ᠠᠪᠠᠴᠢᠵᠠᠢ᠃
14,ᠣᠳᠣ ᠴᠢᠮᠠᠳᠤ ᠤᠯᠠᠭᠠᠨ ᠴᠢᠪᠠᠭ᠎ᠠ ᠬᠡᠷᠡᠭ ᠲᠡᠶ ᠦᠦ?,ᠨᠢᠭᠡ ᠬᠠᠶᠢᠷᠴᠠᠭ ᠢᠶᠠᠷ ᠪᠥᠭᠡᠮ ᠢᠶᠡᠷ ᠬᠤᠳᠠᠯᠳᠤᠵᠤ ᠠᠪᠤᠶ᠎ᠠ᠃
15,ᠴᠢ ᠬᠥᠮᠦᠨ ᠢ ᠮᠥᠷᠭᠥᠭᠡᠳ ᠮᠠᠨᠠᠷᠠᠭᠤᠯᠴᠢᠬᠠᠪᠠ ᠤᠤ?,ᠬᠦᠮᠦᠨ ᠤ ᠲᠣᠯᠣᠭᠠᠢ ᠶᠢ ᠬᠡᠷᠡᠷᠮ ᠲᠡᠭᠡᠷ᠎ᠡ ᠮᠥᠷᠭᠥᠪᠡ᠃
16,ᠨᠢᠰᠬᠡᠯ ᠳᠦ ᠰᠠᠭᠤᠬᠤ ᠦᠶ᠎ᠡ ᠳᠦ ᠲᠠ ᠨᠠᠷ ᠶᠠᠭᠠᠬᠢᠵᠤ ᠴᠠᠭ ᠨᠥᠭᠴᠢᠭᠡᠬᠦ ᠳᠤᠷᠠᠲᠠᠶ ᠪᠤᠶ?,ᠡᠭᠦᠯᠡ ᠶᠢ ᠦᠵᠡᠨ ᠠ᠂ ᠵᠢᠯᠣᠭᠣᠴᠢ ᠶᠢᠨ ᠥᠷᠥᠭᠡᠨ ᠦ ᠨᠢᠰᠬᠡᠭᠴᠢ ᠶᠠᠭᠤ ᠬᠢᠵᠦ ᠪᠠᠶᠢᠬᠤ ᠶᠢ ᠲᠥᠰᠦᠭᠡᠯᠡᠨ᠎ᠡ᠂ ᠵᠠᠬᠢᠷᠤᠭᠴᠢ ᠠᠴᠠ ᠲᠡᠳᠡᠨ ᠳᠦ ᠶᠠᠭᠤ ᠶᠠᠷᠢᠵᠤ ᠪᠠᠶᠢᠬᠤ ᠶᠢ ᠲᠥᠰᠦᠭᠡᠯᠡᠨ᠎ᠡ
17,ᠴᠢ ᠥᠨᠳᠥᠷ ᠦᠰᠦᠭᠡᠢ ᠲᠡᠶ ᠱᠠᠬᠠᠢ ᠡᠮᠦᠰᠬᠦ ᠶᠢ ᠮᠡᠳᠡᠬᠦ ᠰᠠᠨᠠᠭ᠎ᠠ ᠲᠠᠶ , ᠶᠡᠷᠦ ᠡᠴᠡ ᠡᠮᠦᠰᠴᠦ ᠥᠩᠭᠡᠷᠡᠭᠰᠡᠨ ᠦᠭᠡᠢ᠃
18,ᠬᠠᠪᠤᠷ ᠪᠠᠰᠠ ᠬᠣᠯᠠ ᠤᠤ ?,ᠡᠪᠦᠯ ᠮᠠᠰᠢ ᠤᠷᠲᠤ᠃
19,ᠲᠠ ᠨᠠᠷ ᠲᠤ ᠪᠠᠰᠠ ᠬᠣᠭᠣᠯᠠᠨ ᠭᠡᠷ ᠪᠤᠢ ᠤᠤ ?,ᠲᠠᠭᠠᠷᠠᠨ᠎ᠠ ᠂ ᠶᠠᠭᠤ ᠴᠤ ᠪᠠᠢᠨ᠎ᠠ᠃
20,ᠳ᠋ᠠᠴᠠᠩ ᠢ ᠳᠡᠯᠭᠡᠭᠦᠷ ᠲᠦ ᠰᠢᠨ᠎ᠡ ᠭᠠᠷᠭᠠᠭᠰᠠᠨ ᠤᠤ, ᠲᠡᠢᠮᠤ᠂ ᠴᠢ ᠨᠢᠭᠡ ᠠᠪᠬᠤ ᠤᠤ?
21,ᠴᠢ ᠶᠠᠭᠤ ᠬᠢᠵᠦ ᠪᠠᠶᠢᠬᠤ ᠪᠣᠢ︖,ᠪᠢ ᠪᠠᠰᠠ ᠥᠪᠡᠷ ᠦᠨ ᠶᠠᠭᠤ ᠬᠢᠵᠦ ᠪᠠᠶᠢᠬᠤ ᠪᠠᠨ ᠮᠡᠳᠡᠬᠦ ᠦᠭᠡᠢ᠃
22,ᠭᠡᠵᠢᠭᠡ ᠪᠡᠨ ᠪᠤᠳᠤᠴᠢᠬᠠᠪᠠ ᠤᠤ︖,ᠠᠯᠢ ᠡᠷᠲᠡ ᠪᠤᠳᠤᠭᠠᠳ ᠪᠦᠷ ᠤᠷᠭᠤᠴᠢᠬᠠᠵᠠᠢ᠃
23,ᠲᠠ ᠨᠠᠷ ᠦᠨᠡᠬᠡᠷ ᠣᠷᠣᠢ ᠳᠠᠭᠠᠨ ᠬᠣᠭᠣᠯᠠ ᠢᠳᠡᠬᠦ ᠦᠭᠡᠢ ᠦᠦ ?,ᠶᠠᠭᠤᠨ ᠳᠤ ᠢᠳᠡᠬᠦ ᠦᠭᠡᠢ ᠪᠤᠢ ? ᠢᠳᠡᠬᠦ ᠦᠭᠡᠢ ᠪᠣᠯ ᠥᠯᠪᠡᠷᠴᠦ ᠦᠭᠦᠨ᠎ᠠ᠃
24,ᠲᠠ ᠨᠠᠷ ᠪᠢᠯᠧᠲ᠋ ᠣᠯᠤᠭᠰᠠᠨ ᠤᠤ ?, ᠲᠡᠢᠮᠤ ᠡ ᠂ ᠣᠳᠣ ᠨᠢᠭᠡᠨᠲᠡ ᠭᠠᠯᠲᠤ ᠲᠡᠷᠭᠡᠨ ᠳᠡᠭᠡᠷ᠎ᠡ ᠭᠠᠷᠴᠠᠶ ᠃
25,ᠠᠮᠠᠷᠠᠯᠲᠠ ᠳᠤ ᠬᠠᠷᠢᠵᠤ ᠢᠷᠡᠭᠰᠡᠨ ᠥᠬᠡᠶ ᠤᠤ ?,ᠬᠠᠷᠢᠵᠤ ᠢᠷᠡᠪᠡ᠃
26,ᠴᠢ ᠨᠣᠬᠠᠶ ᠲᠡᠵᠢᠭᠡᠭᠰᠡᠨ ᠦᠦ ?,ᠡᠩ ᠲᠡᠶᠢᠮᠦ᠂ ᠶᠡᠬᠡ ᠬᠦᠭᠡᠷᠦᠬᠦᠨ ᠪᠢᠵᠡ ?
27,ᠵᠣᠭᠣᠰ ᠢ ᠬᠣᠨᠵᠢᠵᠤ ᠪᠠᠶᠢᠭᠠᠳ ᠵᠠᠷᠤᠨ᠎ᠠ ᠰᠢᠳᠠ,ᠲᠡᠶᠢᠮᠦ ᠡ᠂ ᠪᠢ ᠦᠷᠭᠦᠯᠵᠢ ᠢᠩᠭᠢᠵᠦ ᠥᠪᠡᠷ ᠢ ᠪᠡᠨ ᠲᠠᠶᠢᠳᠬᠤᠷᠠᠭᠤᠯᠳᠠᠭ᠃
28,ᠴᠢ ᠶᠠᠭᠤ ᠢᠯᠡᠳᠬᠡᠬᠦ ᠰᠠᠨᠠᠭ᠎ᠠ ᠲᠠᠶ ᠪᠣᠢ,ᠡᠢᠮᠤ ᠣᠷᠣᠢ ᠨᠠᠳᠠ ᠠᠴᠠ ᠶᠠᠭᠤ ᠢᠯᠡᠳᠬᠡᠬᠦ ᠭᠡᠵᠦ ᠠᠰᠠᠭᠤᠭᠠᠳ ᠮᠢᠨᠦ ᠪᠣᠳᠣᠬᠤ ᠪᠠᠷ ᠪᠢ ᠢᠯᠡᠳᠭᠡᠵᠤ ᠲᠡᠢᠯᠡᠬᠦ ᠦᠭᠡᠢ᠃
29,ᠦᠮᠡᠬᠡᠶ ᠰᠢᠪᠲᠦᠷ ᠦᠨ ᠦᠨᠦᠷ ᠢ ᠣᠯᠵᠤ ᠦᠨᠦᠷᠲᠦᠪᠡ ᠦᠦ ?, ᠤᠯᠵᠤ ᠦᠨᠤᠷᠲᠡᠭᠰᠡᠨ ᠦᠭᠡᠢ᠃
30,ᠴᠢ ᠬᠠᠮᠢᠭ᠎ᠠ ᠣᠴᠢᠬᠤ ᠪᠤᠢ?,ᠭᠡᠷ ᠲᠡᠬᠡᠨ ᠬᠠᠷᠢᠨ᠎ᠠ᠃
31,ᠰᠢᠨ᠎ᠡ ᠠᠵᠢᠯ ᠣᠯᠤᠭᠰᠠᠨ ᠤᠤ?,ᠦᠭᠡᠢ᠂ ᠡᠷᠢᠵᠤ ᠪᠠᠢᠨ᠎ᠠ᠃
32,ᠨᠢᠭᠡ ᠠᠶᠠᠭ᠎ᠠ ᠭᠤᠯᠢᠷ ᠢᠳᠡᠨ᠎ᠠ ᠤᠤ ?,ᠨᠢᠭᠡ ᠠᠶᠠᠭ᠎ᠠ ᠢᠳᠡᠬᠦ ᠪᠡᠷ ᠶᠠᠪᠤᠵᠤ ᠪᠣᠯᠤᠨ᠎ᠠ᠂ ᠭᠡᠪᠡᠴᠦ ᠳᠡᠩᠳᠡᠭᠦᠦ ᠬᠣᠯᠠ ᠪᠣᠯᠴᠢᠬᠠᠵᠠᠢ᠃
33,ᠨᠢᠭᠡ ᠬᠡᠰᠡᠭ ᠢᠨᠠᠭ ᠳᠤᠷᠠᠯᠠᠯ ᠳᠠᠭᠤᠰᠪᠠᠯ ᠡᠷᠭᠢᠵᠦ ᠬᠠᠷᠠᠨ᠎ᠠ ᠤᠤ?,ᠶᠠᠭᠤᠨ ᠳᠤ ᠪᠤᠴᠠᠵᠤ ᠬᠠᠷᠠᠬᠤ ᠪᠤᠢ ?
34, ᠭᠢᠲᠠᠳ ᠬᠡᠯᠡ ᠶᠢ ᠶᠠᠭᠠᠬᠢᠵᠤ ᠰᠤᠷᠬᠤ ᠪᠤᠶ？, ᠤᠷᠴᠢᠨ ᠲᠤᠭᠤᠷᠢᠨ ᠴᠢᠨᠢ ᠶᠡᠬᠡ ᠴᠢᠬᠤᠯᠠ᠃
35, ᠬᠡᠲᠤ ᠡᠴᠡᠩᠬᠡᠢ ᠪᠤᠯᠪᠠᠯ ᠯᠠᠪᠳᠠᠭᠤᠨ ᠵᠣᠭᠰᠣᠵᠤ ᠲᠡᠢᠯᠤᠨ᠎ᠠ ᠤᠤ ?,ᠬᠠᠰᠢ ᠯᠠ ᠮᠠᠰᠢ ᠯᠠᠪᠳᠠᠭᠤᠨ ᠪᠠᠶᠢᠨ᠎ᠠ᠃
36,ᠪᠠᠶᠠᠷᠯᠠᠵᠤ ᠪᠠᠶᠢᠨ᠎ᠠ ᠤᠤ ?,ᠡᠩ ᠁ ᠲᠡᠢ᠌ᠮᠦ ᠪᠠᠶᠠᠷᠲᠠᠶ ᠪᠢᠰᠢ ᠃
37,ᠥᠪᠡᠷ ᠦᠨ ᠶᠠᠭᠤ ᠬᠡᠯᠡᠵᠦ ᠪᠠᠶᠢᠬᠤ ᠪᠠᠨ ᠥᠪᠡᠷ ᠢᠶᠡᠨ ᠣᠶᠢᠯᠠᠭᠠᠭᠰᠠᠨ ᠤᠤ︖,ᠴᠢ ᠣᠶᠢᠯᠠᠭᠠᠭᠰᠠᠨ ᠦᠭᠡᠢ ᠪᠢᠵᠡ︖
38,ᠳᠠᠷᠠᠭ᠎ᠠ ᠭᠠᠷᠠᠭ ᠴᠢ ᠬᠢᠴᠢᠶᠡᠯ ᠣᠷᠣᠨ᠎ᠠ ᠤᠤ ?, ᠤᠷᠤᠨ᠎ᠠ᠂ ᠵᠢᠭᠠᠬᠠᠨ ᠶᠠᠭᠠᠷᠤᠤ ᠪᠤᠯᠬᠤ ᠮᠠᠭᠠᠳ᠃
39,ᠲᠡᠭᠦᠰᠬᠡᠭᠰᠡᠨ ᠦᠦ ?,ᠪᠠᠷᠤᠭ ᠲᠡᠭᠦᠰᠤᠭᠰᠡᠨ ᠭᠡᠵᠤ ᠬᠡᠯᠡᠵᠤ ᠪᠤᠯᠤᠨ᠎ᠠ᠂ ᠭᠠᠭᠴᠠ ᠲᠠᠭᠦᠰᠭᠦ ᠦᠨᠡᠮᠯᠡᠯ ᠲᠤᠲᠠᠵᠤ ᠪᠠᠢᠨ᠎ᠠ᠃
40,ᠶᠠᠭᠠᠬᠢᠪᠠᠯ ᠰᠠᠶᠢ ᠴᠢᠮ᠎ᠠ ᠶᠢ ᠬᠥᠭᠡᠭᠡᠵᠦ ᠭᠦᠢᠴᠡᠬᠦ ᠪᠤᠢ ?,ᠵᠣᠭᠣᠰ ᠲᠠᠶ᠂ ᠴᠢᠷᠠᠶ ᠲᠠᠶ᠂ ᠴᠢᠳᠠᠪᠤᠷᠢ ᠲᠠᠶ᠃
41,ᠣᠷᠴᠢᠮ ᠳᠤ ᠰᠢᠰᠲ᠋ᠧᠮ ᠲᠡᠶ ᠬᠡᠯᠡ ᠶᠢ ᠰᠣᠯᠢᠭᠰᠠᠨ ᠤᠤ ?, ᠡᠮᠤᠨ᠎ᠠ ᠬᠡᠳᠤᠨ ᠡᠳᠤᠷ ᠰᠤᠯᠢᠵᠤ ᠦᠩᠭᠡᠷᠡᠪᠡ᠃
42, ᠲᠠ ᠨᠠᠷ ᠭᠠᠳᠠᠭᠰᠢ ᠭᠠᠷᠬᠤ ᠠᠴᠠ ᠪᠠᠨ ᠡᠮᠦᠨ᠎ᠡ ᠬᠠᠮᠲᠤ ᠬᠤᠪᠴᠠᠰᠤ ᠪᠠᠨ ᠲᠢᠭ᠍ᠯᠡᠪᠡ ᠦᠦ ?,ᠡᠮᠦᠰᠬᠦ ᠭᠡᠵᠤ ᠪᠠᠢᠭ᠎ᠠ ᠬᠤᠪᠴᠠᠰᠤ ᠪᠠᠨ ᠲᠠᠭᠠᠷᠠᠭᠤᠯᠪᠠ ᠃
43,ᠪᠤᠷᠴᠠᠭ ᠤᠨ ᠤᠭᠤᠷᠠᠭ ᠠᠮᠲᠠᠲᠠᠶ ᠤᠤ ? ,ᠠᠮᠲᠠᠲᠠᠢ ᠂ ᠰᠠᠢᠬᠠᠨ ᠰᠢᠬᠢᠷᠯᠢᠭ ᠪᠠᠢᠨ᠎ᠠ᠃
44,ᠥᠨᠥᠳᠦᠷ ᠶᠠᠭᠤᠨ ᠳᠤ ᠶᠠᠭᠠᠷᠠᠬᠤ ᠭᠡᠵᠦ ᠪᠠᠶᠢᠬᠤ ᠪᠤᠢ ?, ᠠᠵᠢᠯ ᠡᠴᠡ ᠦᠭᠡᠷ᠎ᠡ ᠶᠠᠭᠤ ᠶᠠᠭᠠᠷᠢᠬᠤ ᠪᠤᠢ ?
45,ᠪᠢᠯᠧᠲ᠋ ᠵᠠᠬᠢᠶᠠᠯᠠᠭᠰᠠᠨ ᠤᠤ ?,ᠡᠬᠢᠯᠡᠭᠡ ᠦᠭᠡᠢ ᠪᠠᠶᠢᠭᠰᠠᠭᠠᠷ᠃
46,ᠡᠮᠡᠭᠲᠡᠢ ᠰᠤᠷᠤᠭᠴᠢ ᠴᠤᠬᠤᠮ ᠶᠠᠭᠤ ᠪᠣᠳᠣᠵᠤ ᠪᠠᠶᠢᠬᠤ ᠪᠣᠢ ?,ᠪᠢ ᠣᠢ᠌ᠯᠠᠭᠠᠵᠤ ᠮᠡᠳᠡᠪᠡᠯ ᠭᠠᠭᠴᠠ ᠪᠡᠶ᠎ᠡ ᠪᠤᠯᠬᠤ ᠦᠭᠡᠢ᠃
47,ᠥᠨᠥᠳᠦᠷ ᠪᠣᠯᠵᠣᠨ᠎ᠠ ᠤᠤ ? , ᠪᠤᠯᠵᠤᠬᠤ ᠦᠭᠡᠢ᠂ ᠪᠠᠰᠠ ᠦᠭᠡᠷ᠎ᠡ ᠤᠴᠢᠷ ᠲᠠᠢ᠃
48,ᠡᠢᠮᠤ ᠶᠡᠬᠡ ᠴᠠᠰᠤᠨ ᠳᠤ ᠴᠢ ᠴᠠᠰᠤᠨ ᠬᠥᠮᠦᠨ ᠣᠪᠣᠭᠠᠯᠠᠬᠤ ᠪᠠᠷ ᠶᠠᠪᠤᠭᠰᠠᠨ ᠤᠤ ? ,ᠨᠢᠭᠡᠳᠦᠭᠡᠷ ᠤᠳᠠᠭ᠎ᠠ ᠴᠠᠰᠤ ᠣᠷᠣᠵᠤ ᠨᠠᠭᠠᠳᠬᠤ ᠪᠠᠷ ᠭᠠᠷᠪᠠ᠂ ᠡᠨᠡ ᠤᠳᠠᠭ᠎ᠠ ᠣᠴᠢᠭᠰᠠᠨ ᠦᠭᠡᠢ᠃
49, ᠠᠵᠢᠯ ᠡᠴᠡ ᠲᠤᠲᠠᠭᠠᠬᠤ ᠪᠠᠷ ᠪᠡᠯᠡᠳᠬᠡᠵᠦ ᠪᠠᠶᠢᠨ᠎ᠠ ᠤᠤ ?,ᠣᠷᠣᠢ ᠣᠴᠢᠬᠤ ᠪᠠᠷ ᠪᠡᠯᠡᠳᠬᠡᠵᠦ ᠪᠠᠶᠢᠨ᠎ᠠ᠃
