,question,answer
50,ᠨᠠᠳᠠ ᠳᠤ ᠠᠷᠢᠬᠢ ᠪᠠᠶᠢᠨ᠎ᠠ᠂ ᠴᠢᠮ᠎ᠠ ᠳᠤ ᠦᠯᠢᠭᠡᠷ ᠪᠠᠶᠢᠨ᠎ᠠ ᠤᠤ ?, ᠪᠠᠢᠨ᠎ᠠ ᠰᠢᠤ᠂ ᠨᠡᠢᠯᠡᠵᠤ ᠠᠷᠢᠬᠢ ᠤᠤᠭᠤᠨ᠎ᠠ ᠤᠤ ?
51,ᠡᠨᠡ ᠶᠠᠭᠤᠮ᠎ᠠ ᠠᠮᠲᠠᠲᠠᠢ ᠤᠤ︖,ᠮᠠᠰᠢ ᠠᠮᠲᠠᠲᠠᠢ ᠪᠠᠢᠨ᠎ᠠ᠃
52,ᠲᠠᠨ ᠤ ᠭᠡᠷ ᠢᠶᠡᠷ ᠢᠶᠡᠨ ᠶᠠᠭᠠᠬᠢᠵᠤ ᠬᠤᠭᠤᠷᠤᠨᠲᠤ ᠪᠡᠨ ᠶᠠᠷᠢᠯᠴᠠᠵᠤ ᠪᠠᠶᠢᠬᠤ ᠪᠤᠢ︖,ᠡᠨᠡ ᠠᠰᠠᠭᠤᠯᠲᠠ ᠶᠢ ᠰᠠᠶᠢᠨ ᠠᠰᠠᠭᠤᠵᠠᠢ᠃
53,ᠤᠮᠠᠷᠠᠲᠤ ᠣᠷᠣᠨ ᠨᠢᠭᠡᠨᠲᠡ ᠨᠠᠮᠤᠷ ᠲᠠᠭᠠᠨ ᠤᠷᠤᠭᠰᠠᠨ ᠤᠤ ?,ᠲᠡᠶᠢᠮᠦ ᠡ᠂ ᠰᠢᠷᠭᠠᠯ ᠨᠠᠮᠤᠷ ᠪᠤᠯᠪᠠ᠃
54,ᠡᠨᠡ ᠪᠣᠯ ᠳᠠᠷᠤᠶ ᠴᠢᠨᠦ ᠥᠨᠥᠳᠦᠷ ᠦᠨ ᠡᠷᠲᠡ ᠭᠡᠷ ᠲᠡᠬᠡᠨ ᠬᠠᠷᠢᠭᠰᠠᠨ ᠤ ᠵᠣᠷᠢᠯᠭ᠎ᠠ ᠤᠤ ?, ᠪᠢ ᠭᠡᠷ ᠲᠡᠬᠡᠨ ᠬᠦᠷᠦᠭᠡᠳ ᠰᠠᠶᠢ ᠮᠡᠳᠡᠵᠡᠢ!
55,ᠴᠢ ᠰᠤᠷᠭᠠᠭᠤᠯᠢ ᠳᠠᠭᠠᠨ ᠬᠠᠷᠢᠬᠤ ᠭᠡᠵᠦ ᠪᠠᠢᠨ᠎ᠠ ᠤᠤ ?, ᠴᠢ ᠪᠠᠰᠠ ᠬᠠᠷᠢᠭᠠᠳᠤᠶ ᠪᠠᠷ ᠪᠢ ᠨᠢᠭᠡᠨᠲᠡ ᠬᠠᠷᠢᠵᠤ ᠢᠷᠡᠪᠡ᠃
56,ᠪᠢ ᠣᠴᠢᠵᠤ ᠴᠢᠮ᠎ᠠ ᠳᠤ ᠬᠠᠨᠢ ᠪᠣᠯᠬᠤ ᠤᠤ ?,ᠪᠢ ᠥᠭᠡᠷ᠎ᠡ ᠬᠥᠮᠦᠨ ᠳᠦ ᠬᠠᠨᠢ ᠪᠣᠯᠤᠨ᠎ᠠ᠃
57,ᠠᠰᠠᠷ ᠠᠴᠠ ᠬᠠᠷᠠᠶᠢᠬᠤ ᠮᠠᠰᠢᠨ ᠴᠢᠮ᠎ᠠ ᠶᠢ ᠵᠢᠷᠦᠬᠡ ᠴᠣᠬᠢᠯᠠᠭᠤᠯᠤᠭᠰᠠᠨ ᠤᠤ ?,ᠵᠢᠷᠦᠬᠡ ᠪᠦᠷ ᠭᠡᠲᠤ ᠬᠤᠷᠳᠤᠨ ᠲᠦᠭᠰᠢᠪᠡ᠃
58,ᠬᠥᠯ ᠴᠢᠨᠢ ᠮᠠᠰᠢ ᠨᠠᠷᠢᠨ ᠪᠢᠠᠨ᠎ᠠ ᠪᠣᠯᠤᠨ᠎ᠠ ᠤᠤ ?,ᠲᠡᠢᠮᠤ ᠨᠠᠷᠢᠨ ᠪᠢᠰᠢ ᠃
59,ᠲᠠᠷᠭᠤᠯᠠᠬᠤ ᠪᠠ ᠦᠬᠦᠬᠦ ᠶᠢ ᠬᠡᠷᠬᠢᠨ ᠰᠣᠩᠭᠣᠬᠤ ᠪᠤᠢ ?,ᠲᠠᠷᠭᠤᠯᠠᠬᠤ ᠶᠢ ᠡᠷᠡᠰ ᠰᠣᠩᠭᠣᠨ᠎ᠠ!
60, ᠨᠣᠬᠠᠶ ᠰᠣᠯᠢᠴᠢᠬᠠᠪᠠ ᠤᠤ ? , ᠢᠯᠡᠭᠦᠦ ᠨᠢᠭᠡ ᠨᠤᠬᠠᠢ ᠲᠡᠵᠢᠭᠡᠵᠤ ᠠᠪᠤᠪᠠ᠃
61,ᠬᠠᠭᠠᠰ ᠰᠥᠨᠢ ᠳᠤᠭᠤᠶ ᠤᠨᠤᠵᠤ ᠪᠠᠢᠨ᠎ᠠ ᠤᠤ ?, ᠢᠩᠭᠢᠪᠡᠯ ᠰᠠᠶᠢ ᠰᠠᠢᠬᠠᠨ ᠪᠢᠰᠢ ᠤᠤ?
62,ᠮᠠᠷᠭᠠᠰᠢ ᠰᠢᠯᠭᠠᠨ᠎ᠠ ᠤᠤ ?,ᠲᠠᠭᠠᠷᠠᠨ᠎ᠠ᠂ ᠰᠠᠢᠨ ᠪᠡᠯᠡᠳᠬᠡ᠃
63,ᠭᠡᠷ ᠴᠢᠨᠢ ᠦᠦ ? ᠴᠠᠰᠤ ᠣᠷᠣᠴᠢᠬᠠᠪᠠ ᠤᠤ ?, ᠲᠡᠢᠮᠤ ᠡ᠂ ᠴᠠᠰᠤ ᠣᠷᠣᠴᠢᠬᠠᠯ᠎ᠠ᠃
64,ᠴᠢ ᠲᠤᠷᠠᠭᠰᠠᠨ ᠤᠤ ?,ᠶᠡᠷᠦ ᠡᠴᠡ ᠮᠠᠷᠢᠶᠠᠯᠠᠵᠤ ᠥᠩᠭᠡᠷᠡᠭᠰᠡᠨ ᠦᠭᠡᠢ᠃
65,ᠬᠡᠵᠢᠶ᠎ᠡ ᠰᠠᠯᠬᠤ ᠪᠤᠢ ?,ᠪᠢᠲᠡᠭᠡᠢ ᠨᠠᠳᠠ ᠶᠢ ᠲᠩᠷᠢ ᠡᠴᠡ ᠵᠠᠶᠠᠭᠠᠭᠰᠠᠨ ᠨᠢᠭᠡ ᠬᠣᠣᠰ ᠭᠡᠵᠦ ᠪᠣᠳᠣᠭᠠᠷᠠᠢ
66,ᠶᠠᠮᠠᠷ ᠭᠠᠵᠠᠷ ᠬᠥᠳᠡᠯᠭᠡᠭᠡᠨ ᠬᠢᠬᠦ ᠳᠦ ᠲᠣᠬᠢᠷᠠᠮᠵᠢᠲᠠᠶ ᠪᠤᠢ ?,ᠮᠠᠨ ᠤ ᠭᠡᠷ ᠦᠨ ᠣᠶᠢᠷᠠᠯᠴᠠᠬᠢ ᠲᠠᠮᠢᠷ ᠤᠨ ᠲᠠᠯᠠᠪᠠᠢ ᠲᠤᠬᠢᠷᠠᠮᠵᠢᠲᠠᠢ᠃
67,ᠡᠨᠡ ᠴᠢᠷᠦᠭᠦᠯ ᠱᠠᠬᠠᠶ ᠬᠠᠯᠠᠭᠤᠨ ᠪᠢᠰᠢ ᠦᠦ ?,ᠰᠠᠢᠬᠠᠨ ᠰᠡᠷᠢᠭᠦᠨ ᠪᠠᠢᠨ᠎ᠠ᠃
68,ᠪᠢ ᠪᠠᠰᠠ ᠭᠠᠷ ᠪᠣᠭᠴᠣ ᠠᠪᠬᠤ ᠰᠠᠨᠠᠭ᠎ᠠ ᠲᠠᠶ᠂ ᠨᠠᠳᠠ ᠳᠤ ᠬᠦᠷᠭᠡᠵᠦ ᠪᠣᠯᠤᠨ᠎ᠠ ᠤᠤ ?,ᠪᠣᠯᠤᠯ ᠦᠭᠡᠢ ᠶᠠᠭᠠᠬᠢᠬᠤᠪ! ᠰᠦᠯᠵᠢᠶᠡᠨ ᠳᠡᠬᠢ ᠳᠡᠯᠭᠡᠭᠦᠷ ᠡᠴᠡ ᠬᠤᠳᠠᠯᠳᠤᠨ ᠠᠪᠤᠭᠠᠳ ᠲᠣᠭ᠎ᠠ ᠳᠦᠭᠦᠷᠪᠡᠯ ᠳᠠᠷᠤᠢ ᠬᠦᠷᠭᠡᠵᠦ ᠥᠭᠭᠦᠨ᠎ᠡ᠃
69,ᠴᠢ ᠭᠡᠷ ᠲᠦ ᠪᠡᠨ ᠬᠠᠷᠢᠭᠰᠠᠨ ᠤᠤ ?,ᠵᠦᠢᠲᠡᠶ! ᠨᠢᠭᠡ ᠤᠳᠠᠭ᠎ᠠ ᠬᠠᠷᠢᠬᠤ ᠳᠤ ᠠᠮᠠᠷ ᠦᠭᠡᠢ
70,ᠳᠥᠷᠪᠡᠳᠦᠭᠡᠷ ᠢᠵᠢ ᠨᠢ ᠬᠡᠳᠦᠶ ᠵᠣᠭᠣᠰ ᠪᠤᠢ? ᠲᠦᠷᠢᠶᠡᠰᠦᠯᠡᠬᠦ ᠶᠤᠮ ᠤᠤ ? ᠬᠤᠳᠠᠯᠳᠤᠨ ᠠᠪᠬᠤ ᠶᠤᠮ ᠤᠤ?,ᠰᠠᠢᠨ ᠪᠠᠢᠨ᠎ᠠ ᠤᠤ ? ᠪᠦᠷ ᠪᠣᠯᠤᠨ᠎ᠠ᠃
71,ᠨᠢᠭᠡ ᠵᠢᠯ ᠢᠶᠡᠷ ᠵᠣᠭᠰᠣᠬᠤ ᠦᠭᠡᠢ᠂ ᠴᠢ ᠡᠳᠦᠷ ᠡᠳᠦᠷ ᠨᠠᠭᠠᠳᠴᠤ ᠪᠠᠶᠢᠬᠤ ᠪᠢᠰᠢ ᠦᠦ ?,ᠴᠢ ᠨᠠᠮ᠎ᠠ ᠶᠢ ᠣᠶᠢᠯᠠᠭᠠᠨ᠎ᠠ᠃
72,ᠡᠨᠡ ᠬᠤᠪᠴᠠᠰᠤ ᠶᠢ ᠦᠳᠡ ᠶᠢᠨ ᠬᠤᠢᠨ᠎ᠠ ᠠᠪᠤᠭᠰᠠᠨ ᠤᠤ?,ᠪᠢᠰᠢ ᠡ᠂ ᠡᠷᠲᠡ ᠪᠡᠯᠡᠳᠬᠡᠯ ᠲᠡᠶ ᠪᠠᠶᠢᠭᠰᠠᠨ᠃
73,ᠴᠢᠨᠦ ᠠᠩᠬᠠᠨ ᠤ ᠬᠣᠭᠣᠯᠠ ᠴᠢᠨᠢ ᠨᠡᠯᠢᠶᠡᠳ ᠡᠯᠪᠡᠭ ᠪᠠᠢᠨ᠎ᠠ ᠰᠢᠳᠡ᠃,ᠬᠥᠮᠦᠨ ᠦ ᠵᠠᠯᠠᠭᠰᠠᠨ ᠂ ᠡᠨᠳᠡᠬᠢ ᠰᠠᠮ ᠮᠠᠰᠢ ᠬᠢᠮᠳᠠ ᠪᠠᠢᠨ᠎ᠠ᠃
74,ᠲᠠ ᠬᠣᠶᠠᠷ ᠡᠨᠡ ᠱᠠᠬᠠᠢ ᠶᠢ ᠡᠮᠦᠰᠬᠦ ᠳᠦ ᠭᠦᠶᠦᠬᠦ ᠪᠡᠷ ᠪᠡᠯᠡᠳᠬᠡᠵᠦ ᠪᠠᠶᠢᠨ᠎ᠠ ᠤᠤ ?,ᠠᠯᠬᠤᠯᠠᠬᠤ ᠪᠡᠷ ᠶᠠᠪᠤᠨ᠎ᠠ ᠭᠡᠵᠤ ᠪᠠᠢᠨ᠎ᠠ᠃
75,ᠬᠡᠷᠪᠡ ᠪᠣᠷᠣᠭᠠᠨ ᠣᠷᠣᠪᠠᠯ ᠨᠢᠭᠡ ᠡᠳᠦᠷ ᠣᠷᠣᠨ᠎ᠠ ᠤᠤ ?, ᠲᠡᠭᠡᠬᠦ ᠦᠭᠡᠢ ᠪᠠᠢᠬ᠎ᠠ᠃
76,ᠴᠢ ᠪᠠᠰᠠ ᠴᠢᠩᠳᠣᠤ ᠳᠤ ᠣᠴᠢᠨ᠎ᠠ ᠤᠤ?, ᠲᠡᠢᠮᠤ᠂ ᠨᠢᠭᠡᠨᠲᠡ ᠴᠢᠩᠳᠤᠤ ᠳᠤ ᠬᠦᠷᠦᠭᠡᠳ ᠢᠷᠡᠴᠢᠬᠡᠵᠡᠶ ᠃
77,ᠴᠢ ᠹᠦᠵᠧᠦ ᠳᠦ ᠬᠠᠷᠢᠬᠤ ᠭᠡᠵᠦ ᠪᠠᠢᠭ᠎ᠠ ᠤᠤ ?,ᠵᠥᠪ ᠳᠠᠭᠠᠵᠠᠢ!
78,ᠰᠢᠨ᠎ᠡ ᠭᠡᠷ ᠲᠦ ᠨᠡᠭᠦᠵᠦ ᠣᠷᠣᠭᠰᠠᠨ ᠤᠤ ?,ᠡᠩ ᠡᠩ᠂ ᠦᠴᠦᠭᠡᠲᠦᠷ ᠡᠴᠡ ᠡᠬᠢᠯᠡᠵᠤ ᠡᠬᠢᠯᠡᠭᠡᠳ ᠰᠠᠭᠤᠪᠠ᠃
79,ᠴᠢ ᠭᠡᠷ ᠲᠡᠬᠡᠨ ᠬᠠᠷᠢᠪᠠ ᠤᠤ ?,ᠭᠡᠷ ᠲᠡᠬᠡᠨ ᠬᠠᠷᠢᠪᠠ᠃
80,ᠯᠠᠨᠵᠧᠦ ᠰᠠᠶᠢᠬᠠᠨ ᠪᠠᠢᠨ᠎ᠠ ᠤᠤ ? ,ᠴᠢ ᠢᠷᠡᠵᠤ ᠲᠤᠭᠤᠷᠢᠵᠤ ᠦᠵᠡ᠃
81,ᠪᠢ ᠪᠠᠰᠠ ᠴᠢᠮ᠎ᠠ ᠶᠢ ᠮᠠᠰᠢ ᠰᠦᠷ ᠵᠢᠪᠬᠤᠭ᠎ᠠ ᠲᠠᠶ ᠭᠡᠵᠦ ᠪᠣᠳᠤᠵᠤ ᠪᠠᠶᠢᠨ᠎ᠠ᠂ ᠪᠢ ᠴᠢᠮ᠎ᠠ ᠲᠠᠶ ᠨᠠᠶᠢᠵᠠ ᠪᠣᠯᠤᠯᠴᠠᠵᠤ ᠪᠣᠯᠤᠨ᠎ᠠ ᠤᠤ ?,ᠪᠢ ᠴᠢᠮ᠎ᠠ ᠲᠠᠶ ᠵᠥᠪᠬᠡᠨ ᠨᠠᠶᠢᠵᠠ ᠪᠣᠯᠤᠭᠰᠠᠨ ᠳᠠᠭᠠᠨ ᠰᠡᠳᠬᠢᠯ ᠬᠠᠩᠬᠤ ᠦᠭᠡᠢ ᠪᠠᠢᠨ᠎ᠠ᠃
82,ᠴᠢ ᠬᠠᠮᠢᠭ᠎ᠠ ᠶᠠᠪᠤᠭᠰᠠᠨ ᠪᠤᠢ ?,ᠭᠡᠷ ᠲᠡᠬᠡᠨ ᠬᠠᠷᠢᠪᠠ᠃
83,ᠲᠠ ᠨᠠᠷ ᠤᠨ ᠳᠡᠭᠡᠷ᠎ᠡ ᠨᠢᠭᠡ ᠬᠡᠰᠡᠭ ᠬᠠᠶᠢᠷ᠎ᠠ ᠰᠡᠳᠬᠢᠯᠭᠡ ᠶᠠᠭᠤᠨ ᠤ ᠤᠴᠢᠷ ᠠᠴᠠ ᠳᠠᠭᠤᠰᠤᠭᠰᠠᠨ ᠪᠤᠢ ?,ᠳᠤᠷ᠎ᠠ ᠵᠣᠷᠢᠭ ᠢᠶᠠᠷ ᠢᠶᠠᠨ ᠠᠭᠠᠰᠢᠯᠠᠭᠰᠠᠨ ᠡᠴᠡ ᠲᠠᠭᠤᠰᠤᠭᠰᠠᠨ᠃
84,ᠲᠠ ᠨᠠᠷ ᠤᠨ ᠵᠠᠩ ᠠᠭᠠᠰᠢ ᠮᠠᠭᠤ ᠶᠠᠭᠤᠨ ᠳᠤ ᠪᠣᠢ ?,ᠳᠠᠷᠤᠭᠠᠰᠤ ᠲᠠᠶ ᠤᠳᠠᠭᠰᠠᠨ ᠠᠴᠠ ᠠᠭᠤᠷ ᠢᠶᠠᠨ ᠭᠠᠷᠭᠠᠬᠤ ᠰᠠᠨᠠᠭ᠎ᠠ ᠲᠠᠶ ᠃
85,ᠬᠠᠨᠴᠤᠶ ᠨᠢ ᠳᠡᠩᠳᠡᠭᠦᠦ ᠤᠷᠲᠤ ᠪᠣᠯᠤᠭᠰᠠᠨ ᠤᠤ ?,ᠳᠡᠮᠡᠢ ᠤᠷᠲᠤ ᠪᠢᠰᠢ ᠪᠠᠶᠢᠭᠰᠠᠨ ᠳᠠᠭᠠᠨ ᠪᠣᠯᠵᠠᠢ᠃
86,ᠪᠢᠳᠡ ᠢᠷᠡᠭᠡᠳᠦᠢ ᠲᠡᠶ ᠪᠠᠶᠢᠵᠤ ᠪᠣᠯᠤᠨ᠎ᠠ ᠤᠤ ?,ᠪᠣᠯᠤᠯ ᠦᠭᠡᠢ ᠶᠠᠭᠠᠬᠢᠬᠤᠪ᠃
87,ᠵᠢᠭᠤᠯᠴᠢᠯᠠᠬᠤ ᠪᠠᠷ ᠶᠠᠪᠤᠭᠰᠠᠨ ᠤᠤ ?,ᠵᠣᠭᠣᠰ ᠲᠠᠶ ᠬᠥᠮᠦᠨ ᠭᠠᠳᠠᠭᠠᠳᠤ ᠳᠤ ᠭᠠᠷᠴᠤ ᠵᠤᠭᠠᠴᠠᠨ᠎ᠠ᠃
88,ᠮᠤᠤᠷ ᠲᠤ ᠳᠤᠷᠠᠲᠠᠶ ᠤᠤ ?,ᠨᠣᠬᠠᠢ ᠳᠤ ᠨᠡᠩ ᠳᠤᠷᠠᠲᠠᠢ᠃
89,ᠡᠯᠡᠰᠦᠨ ᠳᠤ ᠣᠴᠢᠨ᠎ᠠ ᠤᠤ ?,ᠲᠠᠭᠠᠷᠠᠨ᠎ᠠ᠂ ᠵᠤᠭᠠᠴᠠᠬᠤ ᠪᠠᠷ ᠶᠠᠪᠤᠨ᠎ᠠ᠃
90,ᠶᠠᠭᠤᠨ ᠳᠤ ᠱᠠᠬᠠᠶ ᠳᠤ ᠲᠡᠢᠮᠤ ᠳᠤᠷᠠᠲᠠᠶ ᠪᠤᠢ ?,ᠱᠠᠬᠠᠶ ᠳᠤ ᠰᠢᠨᠤᠯ ᠲᠠᠶ ᠪᠠᠢᠬ᠎ᠠ᠃
91,ᠨᠢᠭᠡ ᠰᠠᠷ᠎ᠠ ᠨᠢᠭᠡ ᠡᠳᠦᠷ ᠦᠨ ᠡᠭᠡᠴᠢ ᠳᠡᠭᠦᠦ ᠪᠡᠨ ᠡᠷᠢᠵᠦ ᠣᠯᠤᠭᠰᠠᠨ ᠤᠤ ?,ᠮᠢᠨᠦ ᠪᠤᠳᠤᠬᠤ ᠪᠡᠷ ᠮᠠᠰᠢ ᠪᠠᠭ᠎ᠠ ᠪᠠᠢᠬ᠎ᠠ᠃
92,ᠰᠢᠨ᠎ᠡ ᠵᠢᠯ ᠰᠠᠶᠢᠨ ᠪᠠᠶᠢᠨ᠎ᠠ ᠤᠤ᠂ ᠰᠢᠨ᠎ᠡ ᠬᠤᠪᠴᠠᠰᠤ ᠶᠢ ᠣᠷᠣ ᠶᠢᠨ ᠲᠣᠯᠣᠭᠠᠢ ᠳᠤ ᠲᠠᠯᠪᠢᠭᠠᠳ ᠡᠮᠦᠰᠬᠦ ᠪᠡᠷ ᠬᠦᠯᠢᠶᠡᠵᠦ ᠪᠠᠶᠢᠨ᠎ᠠ ᠤᠤ︖, ᠰᠢᠨ᠎ᠡ ᠵᠢᠯ ᠰᠠᠢᠨ᠂ ᠨᠢᠭᠡᠨᠲᠡ ᠪᠡᠯᠡᠳᠭᠡᠪᠡ᠃
93,ᠨᠠᠳᠠ ᠶᠢ ᠬᠦᠷᠭᠡᠨ᠎ᠡ ᠦᠦ,ᠵᠥᠪᠬᠡᠨ ᠠᠵᠠ ᠬᠡᠢᠮᠤᠷᠢ ᠲᠠᠢ ᠪᠠᠶᠢᠬᠤ ᠶᠢ ᠴᠢᠨᠢ ᠢᠷᠥᠭᠡᠶ᠎ᠡ᠂ ᠬᠠ ᠬᠠ᠃
94,ᠰᠢᠨ᠎ᠡ ᠠᠵᠢᠯ ᠰᠣᠯᠢᠭᠰᠠᠨ ᠤᠤ ?,ᠲᠡᠢᠮᠤ ᠡ᠂ ᠬᠠᠭᠤᠴᠢᠨ ᠠᠵᠢᠯ ᠪᠡᠨ ᠲᠤᠭᠤᠬᠤ ᠦᠭᠡᠢ ᠪᠤᠯᠪᠠ᠃
95,ᠡᠨᠡ ᠡᠳᠦᠷ ᠪᠠᠰᠠ ᠪᠡᠶ᠎ᠡ ᠪᠡᠨ ᠪᠣᠯᠪᠠᠰᠤᠷᠠᠭᠤᠯᠬᠤ ᠪᠠᠷ ᠭᠠᠷᠴᠤ ᠪᠠᠶᠢᠭ᠎ᠠ ᠂ ᠲᠠᠨᠤᠰ ᠦᠨᠡᠬᠡᠷ ᠨᠠᠳᠠ ᠢ ᠮᠠᠭᠲᠠᠬᠤ ᠶᠢ ᠪᠣᠳᠣᠯᠬᠢᠯᠠᠬᠤ ᠦᠭᠡᠢ ᠦᠦ ?,ᠴᠢ ᠮᠠᠰᠢ ᠰᠠᠶᠢᠨ᠃
96,ᠨᠢᠭᠡ ᠡᠳᠦᠷ ᠬᠡᠳᠦᠶ ᠶᠠᠭᠤᠮ᠎ᠠ ᠢᠳᠡᠬᠦ ᠪᠤᠢ ?,ᠭᠡᠷ ᠲᠦ ᠮᠠᠰᠢ ᠣᠯᠠᠨ ᠨᠣᠭᠣᠭ᠎ᠠ ᠲᠠᠷᠢᠵᠠᠢ᠂ ᠲᠡᠷᠡ ᠢᠳᠡᠬᠦ ᠳᠤᠷᠠᠲᠠᠢ ᠪᠣᠯ ᠢᠳᠡᠵᠦ᠂ ᠢᠳᠡᠬᠦ ᠳᠤᠷ᠎ᠠ ᠦᠭᠡᠢ ᠪᠣᠯ ᠢᠳᠡᠭᠦᠯᠬᠦ ᠦᠭᠡᠢ
97,ᠪᠢ ᠶᠠᠭᠤᠨ ᠠᠴᠠ ᠬᠣᠴᠣᠷᠪᠠ ?,ᠨᠢᠭᠡ ᠬᠡᠰᠡᠭ ᠤᠷᠤᠭ ᠤᠨ ᠪᠠᠷᠢᠯᠳᠤᠯᠭ᠎ᠠ᠃
98,ᠴᠢ ᠬᠥᠮᠦᠨ ᠢ ᠦᠵᠡᠬᠦ ᠳᠦ ᠪᠠᠰᠠ ᠨᠢᠳᠦᠨ ᠦ ᠢᠷᠮᠡᠭ ᠢ ᠦᠵᠡᠨ᠎ᠡ ᠦᠦ ?,ᠵᠦᠭᠡᠷ ᠡ᠂ ᠶᠠᠷᠢᠯᠴᠠᠭᠠᠨ ᠤ ᠠᠭᠤᠯᠭ᠎ᠠ ᠶᠢ ᠨᠡᠩ ᠢᠯᠡᠭᠦᠦ ᠦᠵᠡᠨ᠎ᠡ᠃
99,ᠮᠢᠨᠲᠤᠤᠷ ᠢᠳᠡᠵᠦ ᠥᠩᠭᠡᠷᠡᠭᠰᠡᠨ ᠦᠦ ?,ᠨᠡᠭᠠᠳᠦᠮ ᠬᠢᠵᠤ ᠪᠠᠢᠭ᠎ᠠ ᠪᠢᠰᠢ ᠦᠦ︖
